date,aircraft_registration,aircraft_type,type_of_occurance,place_of_occurance,status,report,report_link,geocode,latitude,longitude,formatted_address
2010-07-15,RP-C2252,YS-11A-500,Tire Burst,Manila Domestic Airport Runway 31,Completed,Summary,http://www.caap.gov.ph?download=3502,"{'address_components': [{'long_name': 'Ninoy Aquino International Airport', 'short_name': 'NAIA', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Pasay', 'short_name': 'Pasay', 'types': ['locality', 'political']}, {'long_name': 'Metro Manila', 'short_name': 'NCR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '1300', 'short_name': '1300', 'types': ['postal_code']}], 'formatted_address': 'Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines', 'geometry': {'location': {'lat': 14.5122739, 'lng': 121.016508}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.5136228802915, 'lng': 121.0178569802915}, 'southwest': {'lat': 14.5109249197085, 'lng': 121.0151590197085}}}, 'place_id': 'ChIJd0270sXOlzMREUQRimL6JIo', 'plus_code': {'compound_code': 'G268+WJ Pasay, Metro Manila, Philippines', 'global_code': '7Q63G268+WJ'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.5122739,121.016508,"Ninoy Aquino International Airport (MNL), Pasay, 1300 Metro Manila, Philippines"
2010-05-25,RP-C9328,Dornier Do-328,Tail Strike,Caticlan Airport,Completed,Summary,http://www.caap.gov.ph?download=3499,"{'address_components': [{'long_name': 'Godofredo P. Ramos Airport', 'short_name': 'Godofredo P. Ramos Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Aklan West Road', 'short_name': 'Aklan West Road', 'types': ['route']}, {'long_name': 'Malay', 'short_name': 'Malay', 'types': ['locality', 'political']}, {'long_name': 'Aklan', 'short_name': 'Aklan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '5608', 'short_name': '5608', 'types': ['postal_code']}], 'formatted_address': 'Godofredo P. Ramos Airport (MPH), Aklan West Road, Malay, 5608 Aklan, Philippines', 'geometry': {'location': {'lat': 11.9253057, 'lng': 121.9535061}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.9266546802915, 'lng': 121.9548550802915}, 'southwest': {'lat': 11.9239567197085, 'lng': 121.9521571197085}}}, 'place_id': 'ChIJEeImkls-pTMRP5Qy_5uVqiI', 'plus_code': {'compound_code': 'WXG3+4C Malay, Aklan, Philippines', 'global_code': '7Q33WXG3+4C'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.9253057,121.9535061,"Godofredo P. Ramos Airport (MPH), Aklan West Road, Malay, 5608 Aklan, Philippines"
2010-05-15,RP-R3618,Agtruck-188B,Runway Excursion,"New Corella Airstrip, Corella, Davao Del Norte",Completed,Summary,http://www.caap.gov.ph?download=3496,"{'address_components': [{'long_name': 'New Corella Airstrip', 'short_name': 'New Corella Airstrip', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'New Corella', 'short_name': 'New Corella', 'types': ['locality', 'political']}, {'long_name': 'Davao del Norte', 'short_name': 'Davao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'New Corella Airstrip, New Corella, Davao del Norte, Philippines', 'geometry': {'location': {'lat': 7.5977693, 'lng': 125.8498078}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 7.599118280291502, 'lng': 125.8511567802915}, 'southwest': {'lat': 7.596420319708497, 'lng': 125.8484588197085}}}, 'place_id': 'ChIJMZSVOGCp_jIRxgDskbRIRy4', 'plus_code': {'compound_code': 'HRXX+4W New Corella, Davao del Norte, Philippines', 'global_code': '6QV7HRXX+4W'}, 'types': ['airport', 'establishment', 'point_of_interest']}",7.5977693,125.8498078,"New Corella Airstrip, New Corella, Davao del Norte, Philippines"
2010-04-26,RP-C989,Piper Super Cub PA-18-150,Propeller Ground Strike,"OMNI Airfield, Clark Pampanga",Completed,Summary,http://www.caap.gov.ph?download=3493,"{'address_components': [{'long_name': 'Angeles', 'short_name': 'AC', 'types': ['locality', 'political']}, {'long_name': 'Pampanga', 'short_name': 'Pampanga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '2009', 'short_name': '2009', 'types': ['postal_code']}], 'formatted_address': 'Omni Driveway, Angeles, 2009 Pampanga, Philippines', 'geometry': {'location': {'lat': 15.1699534, 'lng': 120.5638679}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.1713023802915, 'lng': 120.5652168802915}, 'southwest': {'lat': 15.1686044197085, 'lng': 120.5625189197085}}}, 'place_id': 'ChIJrXO3pILyljMRy99b7FejM5o', 'plus_code': {'compound_code': '5H97+XG Angeles, Pampanga, Philippines', 'global_code': '7Q725H97+XG'}, 'types': ['establishment', 'point_of_interest', 'university']}",15.1699534,120.5638679,"Omni Driveway, Angeles, 2009 Pampanga, Philippines"
2010-04-02,RP-C1743,Cessna 152,Uncontrolled Landing,"Iba, Zambales",Completed,Summary,http://www.caap.gov.ph?download=3490,"{'address_components': [{'long_name': 'Iba', 'short_name': 'Iba', 'types': ['locality', 'political']}, {'long_name': 'Zambales', 'short_name': 'Zambales', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Iba, Zambales, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 15.4365548, 'lng': 120.1724051}, 'southwest': {'lat': 15.3007566, 'lng': 119.9277921}}, 'location': {'lat': 15.3329773, 'lng': 119.975756}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 15.4365548, 'lng': 120.1724051}, 'southwest': {'lat': 15.3007566, 'lng': 119.9277921}}}, 'place_id': 'ChIJLUHAy7kklDMR8bqCHmHKC_A', 'types': ['locality', 'political']}",15.3329773,119.975756,"Iba, Zambales, Philippines"
2010-03-15,RP-C2928,LET 410,Busted Left Main Tire,Caticlan Airport,Completed,Summary,http://www.caap.gov.ph?download=3487,"{'address_components': [{'long_name': 'Godofredo P. Ramos Airport', 'short_name': 'Godofredo P. Ramos Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Aklan West Road', 'short_name': 'Aklan West Road', 'types': ['route']}, {'long_name': 'Malay', 'short_name': 'Malay', 'types': ['locality', 'political']}, {'long_name': 'Aklan', 'short_name': 'Aklan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '5608', 'short_name': '5608', 'types': ['postal_code']}], 'formatted_address': 'Godofredo P. Ramos Airport (MPH), Aklan West Road, Malay, 5608 Aklan, Philippines', 'geometry': {'location': {'lat': 11.9253057, 'lng': 121.9535061}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.9266546802915, 'lng': 121.9548550802915}, 'southwest': {'lat': 11.9239567197085, 'lng': 121.9521571197085}}}, 'place_id': 'ChIJEeImkls-pTMRP5Qy_5uVqiI', 'plus_code': {'compound_code': 'WXG3+4C Malay, Aklan, Philippines', 'global_code': '7Q33WXG3+4C'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.9253057,121.9535061,"Godofredo P. Ramos Airport (MPH), Aklan West Road, Malay, 5608 Aklan, Philippines"
2010-03-12,RP-C1322,Cessna 172,Jet Blast,Runway 13 Extension,Completed,Summary,http://www.caap.gov.ph?download=3484,,14.522667,14.524806,
2010-03-08,RP-R2374, Ayres Corp. S2R-G10,Runway Excursion,"Magcum Aerodrome, New Corella Davao del Norte",Completed,Summary,http://www.caap.gov.ph?download=3481,"{'address_components': [{'long_name': 'New Corella', 'short_name': 'New Corella', 'types': ['locality', 'political']}, {'long_name': 'Davao del Norte', 'short_name': 'Davao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'New Corella, Davao del Norte, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 7.6927045, 'lng': 125.9300995}, 'southwest': {'lat': 7.512531799999999, 'lng': 125.7902814}}, 'location': {'lat': 7.5977693, 'lng': 125.8498078}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 7.6927045, 'lng': 125.9300995}, 'southwest': {'lat': 7.512531799999999, 'lng': 125.7902814}}}, 'partial_match': True, 'place_id': 'ChIJi6r_3JGo_jIRzRIx9lFaug0', 'types': ['locality', 'political']}",7.5977693,125.8498078,"New Corella, Davao del Norte, Philippines"
2010-02-20,RP-C5522 / RP-C666,AS350 / Cessna 180,Near Miss,"Vicinity of Covelandia Bacoor, Cavite",Completed,Summary,http://www.caap.gov.ph?download=3478,"{'address_components': [{'long_name': 'Molino III', 'short_name': 'Molino III', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Bacoor', 'short_name': 'Bacoor', 'types': ['locality', 'political']}, {'long_name': 'Cavite', 'short_name': 'Cavite', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Calabarzon', 'short_name': 'Calabarzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Molino III, Bacoor, Cavite, Philippines', 'geometry': {'location': {'lat': 14.3874221, 'lng': 120.9883188}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.3887710802915, 'lng': 120.9896677802915}, 'southwest': {'lat': 14.3860731197085, 'lng': 120.9869698197085}}}, 'partial_match': True, 'place_id': 'ChIJCwhd5jbRlzMRBJPHWCkjcFQ', 'plus_code': {'compound_code': '9XPQ+X8 Bacoor, Cavite, Philippines', 'global_code': '7Q629XPQ+X8'}, 'types': ['establishment', 'food', 'point_of_interest', 'restaurant']}",14.3874221,120.9883188,"Molino III, Bacoor, Cavite, Philippines"
2010-02-05,RP-C4427,Cessna 152,Uncontrolled Landing,Ormoc Airport Leyte,Completed,Summary,http://www.caap.gov.ph?download=4244,"{'address_components': [{'long_name': 'Ormoc Airport', 'short_name': 'Ormoc Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Ormoc', 'short_name': 'Ormoc', 'types': ['locality', 'political']}, {'long_name': 'Leyte', 'short_name': 'Leyte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Eastern Visayas', 'short_name': 'Eastern Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6541', 'short_name': '6541', 'types': ['postal_code']}], 'formatted_address': 'Ormoc Airport (OMC), Ormoc, 6541 Leyte, Philippines', 'geometry': {'location': {'lat': 11.055485, 'lng': 124.5663306}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.0568339802915, 'lng': 124.5676795802915}, 'southwest': {'lat': 11.0541360197085, 'lng': 124.5649816197085}}}, 'place_id': 'ChIJ50eKnmT3BzMRPu5jBcw2fzg', 'plus_code': {'compound_code': '3H48+5G Ormoc, Leyte, Philippines', 'global_code': '7Q363H48+5G'}, 'types': ['airport', 'establishment', 'point_of_interest']}",11.055485,124.5663306,"Ormoc Airport (OMC), Ormoc, 6541 Leyte, Philippines"
2010-01-30,RP-C8840,Cessna 152 II,Aborted Take Off,Subic Bay International Airport,Completed,Summary,http://www.caap.gov.ph?download=3475,"{'address_components': [{'long_name': 'Naval Air Station Cubi Point', 'short_name': 'Naval Air Station Cubi Point', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Subic Bay Freeport Zone', 'short_name': 'Subic Bay Freeport Zone', 'types': ['locality', 'political']}, {'long_name': 'Bataan', 'short_name': 'Bataan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines', 'geometry': {'location': {'lat': 14.795372, 'lng': 120.2827303}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.7967209802915, 'lng': 120.2840792802915}, 'southwest': {'lat': 14.7940230197085, 'lng': 120.2813813197085}}}, 'place_id': 'ChIJQYCC--BzljMRf1VEGznl3B0', 'plus_code': {'compound_code': 'Q7WM+43 Subic Bay Freeport Zone, Philippines', 'global_code': '7Q62Q7WM+43'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.795372,120.2827303,"Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines"
2010-01-24,RP-C1086,Eurocopter Deutschland GMBH,Detachment of Unsecured Detachable Step,"Gen. Aviation Area, Domestic Airport",Completed,Summary,http://www.caap.gov.ph?download=3472,,121.005,121.001028,
2010-01-24,RP-C1939,Cessna 172M,Collision with Perimeter Fence,Subic Bay International Airport,Completed,Summary,http://www.caap.gov.ph?download=3469,"{'address_components': [{'long_name': 'Naval Air Station Cubi Point', 'short_name': 'Naval Air Station Cubi Point', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Subic Bay Freeport Zone', 'short_name': 'Subic Bay Freeport Zone', 'types': ['locality', 'political']}, {'long_name': 'Bataan', 'short_name': 'Bataan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines', 'geometry': {'location': {'lat': 14.795372, 'lng': 120.2827303}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 14.7967209802915, 'lng': 120.2840792802915}, 'southwest': {'lat': 14.7940230197085, 'lng': 120.2813813197085}}}, 'place_id': 'ChIJQYCC--BzljMRf1VEGznl3B0', 'plus_code': {'compound_code': 'Q7WM+43 Subic Bay Freeport Zone, Philippines', 'global_code': '7Q62Q7WM+43'}, 'types': ['airport', 'establishment', 'point_of_interest']}",14.795372,120.2827303,"Naval Air Station Cubi Point, Subic Bay Freeport Zone, Bataan, Philippines"
2009-11-09,RP-C8690,PA-34-200 Piper Seneca,Nose wheel Collapse,"Tuguegarao, Cagayan",Completed,Summary,http://www.caap.gov.ph?download=3614,"{'address_components': [{'long_name': 'Tuguegarao City', 'short_name': 'Tuguegarao', 'types': ['locality', 'political']}, {'long_name': 'Cagayan', 'short_name': 'Cagayan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Cagayan Valley', 'short_name': 'Cagayan Valley', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Tuguegarao, Cagayan, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 17.6867129, 'lng': 121.8369197}, 'southwest': {'lat': 17.5174437, 'lng': 121.6820089}}, 'location': {'lat': 17.6131813, 'lng': 121.7270206}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 17.6867129, 'lng': 121.8369197}, 'southwest': {'lat': 17.5174437, 'lng': 121.6820089}}}, 'place_id': 'ChIJ4_38UiuEhTMRzJA8iJztw3w', 'types': ['locality', 'political']}",17.6131813,121.7270206,"Tuguegarao, Cagayan, Philippines"
2009-10-22,RP-C2282,Dornier 228-202K,Belly Landing,Pamalican II Aerodrome,Completed,Summary,http://www.caap.gov.ph?download=3611,"{'address_components': [{'long_name': 'Pamalican Island', 'short_name': 'Pamalican Island', 'types': ['establishment', 'natural_feature']}, {'long_name': 'Agutaya', 'short_name': 'Agutaya', 'types': ['locality', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Pamalican Island, Agutaya, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 11.3628956, 'lng': 120.7400684}, 'southwest': {'lat': 11.3457909, 'lng': 120.720809}}, 'location': {'lat': 11.3575926, 'lng': 120.7278102}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 11.3628956, 'lng': 120.7400684}, 'southwest': {'lat': 11.3457909, 'lng': 120.720809}}}, 'partial_match': True, 'place_id': 'ChIJn_K_t5XysDMRTqpSpXtQYzE', 'types': ['establishment', 'natural_feature']}",11.3575926,120.7278102,"Pamalican Island, Agutaya, Philippines"
2009-10-05,RP-C9988,Cessna 152,Landing,"Runway 21, Bacolod Silay Airport",Completed,Summary,http://www.caap.gov.ph?download=3608,"{'address_components': [{'long_name': 'New Bacolod-Silay International Airport', 'short_name': 'New Bacolod-Silay International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'Airport Road', 'short_name': 'Airport Road', 'types': ['route']}, {'long_name': 'Silay City', 'short_name': 'Silay City', 'types': ['locality', 'political']}, {'long_name': 'Negros Occidental', 'short_name': 'Negros Occidental', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6116', 'short_name': '6116', 'types': ['postal_code']}], 'formatted_address': 'New Bacolod-Silay International Airport, Airport Road, Silay City, 6116 Negros Occidental, Philippines', 'geometry': {'location': {'lat': 10.776625, 'lng': 123.0149078}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.7779739802915, 'lng': 123.0162567802915}, 'southwest': {'lat': 10.7752760197085, 'lng': 123.0135588197085}}}, 'place_id': 'ChIJK0SB_djPrjMRQe_3jETa3lk', 'plus_code': {'compound_code': 'Q2G7+JX Silay City, Negros Occidental, Philippines', 'global_code': '7Q25Q2G7+JX'}, 'types': ['airport', 'establishment', 'point_of_interest']}",10.776625,123.0149078,"New Bacolod-Silay International Airport, Airport Road, Silay City, 6116 Negros Occidental, Philippines"
2009-09-06,RP-C317,"BE-55, Baron",Runway Excursion,"Roxas, Palawan",Completed,Summary,http://www.caap.gov.ph?download=3605,"{'address_components': [{'long_name': 'Roxas', 'short_name': 'Roxas', 'types': ['locality', 'political']}, {'long_name': 'Palawan', 'short_name': 'Palawan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Roxas, Palawan, Philippines', 'geometry': {'bounds': {'northeast': {'lat': 10.5237629, 'lng': 119.5858383}, 'southwest': {'lat': 10.0168629, 'lng': 119.063301}}, 'location': {'lat': 10.3096267, 'lng': 119.2629755}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 10.5237629, 'lng': 119.5858383}, 'southwest': {'lat': 10.0168629, 'lng': 119.063301}}}, 'place_id': 'ChIJU4FBzgzMtTMRf_D5dy982vw', 'types': ['locality', 'political']}",10.3096267,119.2629755,"Roxas, Palawan, Philippines"
2009-08-11,RP-C347,Cessna 152,Bronco Landing,"Plaridel Airport, Bulacan",Completed,Summary,http://www.caap.gov.ph?download=3602,"{'address_components': [{'long_name': 'Plaridel Airport', 'short_name': 'Plaridel Airport', 'types': ['airport', 'establishment', 'point_of_interest', 'university']}, {'long_name': '0385', 'short_name': '0385', 'types': ['street_number']}, {'long_name': 'General Alejo G. Santos Highway', 'short_name': 'General Alejo G. Santos Hwy', 'types': ['route']}, {'long_name': 'Plaridel', 'short_name': 'Plaridel', 'types': ['locality', 'political']}, {'long_name': 'Bulacan', 'short_name': 'Bulacan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '3004', 'short_name': '3004', 'types': ['postal_code']}], 'formatted_address': 'Plaridel Airport, 0385 General Alejo G. Santos Hwy, Plaridel, 3004 Bulacan, Philippines', 'geometry': {'location': {'lat': 14.8906749, 'lng': 120.8528025}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 14.8920238802915, 'lng': 120.8541514802915}, 'southwest': {'lat': 14.8893259197085, 'lng': 120.8514535197085}}}, 'place_id': 'ChIJPwQLV4hUljMRX_vyQR9WxhI', 'plus_code': {'compound_code': 'VVR3+74 Plaridel, Bulacan, Philippines', 'global_code': '7Q62VVR3+74'}, 'types': ['airport', 'establishment', 'point_of_interest', 'university']}",14.8906749,120.8528025,"Plaridel Airport, 0385 General Alejo G. Santos Hwy, Plaridel, 3004 Bulacan, Philippines"
2009-07-24,RP-C1742,PA-34-200 Piper Seneca,Belly Landing,"San Fernando Airport, La Union",Completed,Summary,http://www.caap.gov.ph?download=3599,"{'address_components': [{'long_name': 'San Fernando (Poro Point) Airport', 'short_name': 'San Fernando (Poro Point) Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': 'San Fernando', 'short_name': 'San Fernando', 'types': ['locality', 'political']}, {'long_name': 'La Union', 'short_name': 'La Union', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ilocos Region', 'short_name': 'Ilocos Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'San Fernando (Poro Point) Airport (SFE), San Fernando, La Union, Philippines', 'geometry': {'location': {'lat': 16.59447, 'lng': 120.303296}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 16.5958189802915, 'lng': 120.3046449802915}, 'southwest': {'lat': 16.5931210197085, 'lng': 120.3019470197085}}}, 'place_id': 'ChIJC8xvDqyPkTMROftAuQ9wD4k', 'plus_code': {'compound_code': 'H8V3+Q8 San Fernando, La Union, Philippines', 'global_code': '7Q82H8V3+Q8'}, 'types': ['airport', 'establishment', 'point_of_interest']}",16.59447,120.303296,"San Fernando (Poro Point) Airport (SFE), San Fernando, La Union, Philippines"
2009-06-27,RP-C3546,Cessna 172S,Bronco Landing,Runway 20 Omni Airfield,Completed,Summary,http://www.caap.gov.ph?download=3596,"{'address_components': [{'long_name': 'Dallas/Fort Worth International Airport', 'short_name': 'DFW International Airport', 'types': ['airport', 'establishment', 'point_of_interest']}, {'long_name': '2400', 'short_name': '2400', 'types': ['street_number']}, {'long_name': 'Aviation Drive', 'short_name': 'Aviation Dr', 'types': ['route']}, {'long_name': 'DFW Airport', 'short_name': 'DFW Airport', 'types': ['locality', 'political']}, {'long_name': 'Texas', 'short_name': 'TX', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United States', 'short_name': 'US', 'types': ['country', 'political']}, {'long_name': '75261', 'short_name': '75261', 'types': ['postal_code']}], 'formatted_address': 'DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA', 'geometry': {'location': {'lat': 32.8998091, 'lng': -97.0403352}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 32.9011580802915, 'lng': -97.0389862197085}, 'southwest': {'lat': 32.8984601197085, 'lng': -97.04168418029151}}}, 'place_id': 'ChIJpyoiDWYqTIYRHCB9Bl4_MnM', 'plus_code': {'compound_code': 'VXX5+WV Grapevine, Texas, United States', 'global_code': '8644VXX5+WV'}, 'types': ['airport', 'establishment', 'point_of_interest']}",32.8998091,-97.0403352,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA"
2009-06-23,RP-C1742,PA 34-200,Bronco Landing,"Clark Field, Pampanga",Completed,Summary,http://www.caap.gov.ph?download=3593,"{'address_components': [{'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Lily Hill Street, Clark Field, Angeles City, 2009, Pampanga, Philippines', 'geometry': {'location': {'lat': 15.1916531, 'lng': 120.5375518}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.1930020802915, 'lng': 120.5389007802915}, 'southwest': {'lat': 15.1903041197085, 'lng': 120.5362028197085}}}, 'place_id': 'ChIJ65ITxEjtljMRBSSA-aje3YI', 'plus_code': {'compound_code': '5GRQ+M2 Mabalacat, Pampanga, Philippines', 'global_code': '7Q725GRQ+M2'}, 'types': ['establishment', 'point_of_interest']}",15.1916531,120.5375518,"Lily Hill Street, Clark Field, Angeles City, 2009, Pampanga, Philippines"
2009-05-23,RP-C596,BE-D50C,Nose Wheel Collapse,"San Vicente, Pagdanan, Palawan",Completed,Summary,http://www.caap.gov.ph?download=3590,"{'address_components': [{'long_name': 'Pagdanan Peninsula', 'short_name': 'Pagdanan Peninsula', 'types': ['establishment', 'natural_feature']}, {'long_name': 'Poblacion San Vicente', 'short_name': 'Poblacion San Vicente', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'San Vicente', 'short_name': 'San Vicente', 'types': ['locality', 'political']}, {'long_name': 'Palawan', 'short_name': 'Palawan', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'MIMAROPA', 'short_name': 'MIMAROPA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Pagdanan Peninsula, Poblacion San Vicente, San Vicente, Palawan, Philippines', 'geometry': {'location': {'lat': 10.5333333, 'lng': 119.25}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 10.5443031, 'lng': 119.2660074}, 'southwest': {'lat': 10.5223631, 'lng': 119.2339926}}}, 'place_id': 'ChIJ8VVEop7XtTMRBJzImfpB8PM', 'types': ['establishment', 'natural_feature']}",10.5333333,119.25,"Pagdanan Peninsula, Poblacion San Vicente, San Vicente, Palawan, Philippines"
